constructo,cond,id_celda_real,variante,nulo,canal,k,estimador,n_trazas,n_pares,im_obs,umbral_p95,nulo_media,nulo_sd,p_perm,rechaza,p_holm,confirma
E215C,10uM,0,terciles,orden,dwell,8,pt,194,1287,0.0377642,0.0123282,0.00224282,0.00579112,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,dwell,8,nsb,194,1287,0.0313119,0.00695647,0.00238213,0.002418,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,paso,8,plugin,194,1287,0.0649257,0.0141661,0.00791149,0.00342946,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,paso,8,mm,194,1287,0.0626837,0.0119241,0.00566954,0.00342946,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,paso,8,pt,194,1287,0.0626837,0.0119241,0.00566954,0.00342946,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,paso,8,nsb,194,1287,0.0608084,0.0100259,0.00417972,0.00307902,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,dwell_paso,8,plugin,194,1287,0.14572,0.0183987,0.0115559,0.00396648,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,dwell_paso,8,mm,194,1287,0.137873,0.0105519,0.00370904,0.00396648,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,dwell_paso,8,pt,194,1287,0.137873,0.0105519,0.00370904,0.00396648,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,dwell_paso,8,nsb,194,1287,0.134647,0.0064475,0.00212685,0.0023795,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,evento,4,plugin,194,1287,0.296344,0.122845,0.10522,0.0105371,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,evento,4,mm,194,1287,0.237493,0.0615376,0.0433329,0.0108426,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,evento,4,pt,194,1287,0.229086,0.0555863,0.0379618,0.0105371,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,evento,4,nsb,194,1287,0.224788,0.0511221,0.0333139,0.010674,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,dwell,4,plugin,194,1287,0.023361,0.0151764,0.0094343,0.00320965,0.000999001,True,0.002997,True
